County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Alameda County,California,6001,19.2,17.3,21.5
Alpine County,California,6003,20.9,12.3,34.7
Amador County,California,6005,29.8,21.1,40
Butte County,California,6007,27.2,22.2,32.7
Calaveras County,California,6009,30.4,21.1,41.2
Colusa County,California,6011,40.6,28.8,53.3
Contra Costa County,California,6013,23.8,21,26.7
Del Norte County,California,6015,34.4,22.6,47.4
El Dorado County,California,6017,21.5,16.6,26.8
Fresno County,California,6019,31.4,27.8,35.5
Glenn County,California,6021,32.1,21.9,42.7
Humboldt County,California,6023,28.9,23,35.4
Imperial County,California,6025,34.6,26,44.8
Inyo County,California,6027,27.4,17.2,40.5
Kern County,California,6029,32.2,27.9,36.4
Kings County,California,6031,29.4,22.3,37.2
Lake County,California,6033,24.5,17.2,34.2
Lassen County,California,6035,40.9,28,52.6
Los Angeles County,California,6037,21.4,20.2,22.7
Madera County,California,6039,35.8,27.9,44
Marin County,California,6041,15.7,11.9,20.1
Mariposa County,California,6043,22.5,15.1,32.4
Mendocino County,California,6045,32.2,25.1,39.8
Merced County,California,6047,28.3,22.3,34.4
Modoc County,California,6049,27.7,16.6,41.7
Mono County,California,6051,24.6,15.3,35.5
Monterey County,California,6053,27.6,23,32.9
Napa County,California,6055,23.2,17,29.6
Nevada County,California,6057,21.5,15.5,28.5
Orange County,California,6059,19,17.3,20.8
Placer County,California,6061,20.3,16.8,24.2
Plumas County,California,6063,26,15.2,40.7
Riverside County,California,6065,27,24.5,29.6
Sacramento County,California,6067,28.7,26.5,31
San Benito County,California,6069,31.9,22.7,42
San Bernardino County,California,6071,28.6,25.8,31.5
San Diego County,California,6073,20.2,18.5,21.7
San Francisco County,California,6075,18.5,15.9,21.4
San Joaquin County,California,6077,32.5,28.4,36.5
San Luis Obispo County,California,6079,25.3,20.4,30.2
San Mateo County,California,6081,20.7,17.6,24.2
Santa Barbara County,California,6083,24.6,20.4,29.5
Santa Clara County,California,6085,19.2,17.2,21.3
Santa Cruz County,California,6087,18.6,14.5,23.2
Shasta County,California,6089,23.3,18.3,29.5
Sierra County,California,6091,23.3,13.6,35.7
Siskiyou County,California,6093,31.9,22.8,42.7
Solano County,California,6095,30,25.2,34.7
Sonoma County,California,6097,22.2,18.8,25.9
Stanislaus County,California,6099,30.4,25.9,35.3
Sutter County,California,6101,31.7,23.7,40.2
Tehama County,California,6103,27.2,19.4,36.5
Trinity County,California,6105,33.4,21.5,46.8
Tulare County,California,6107,37.1,30.7,44
Tuolumne County,California,6109,33,23.8,42.9
Ventura County,California,6111,20.3,17,23.8
Yolo County,California,6113,24,19.3,29.4
Yuba County,California,6115,34.4,25.7,43.5
